retention_fraction,minimum_keep,operational_weight,nli_weight,cell_count,recall_macro,recall_min,recall_pooled,selected_count_mean,selected_count_median,selected_count_max,silver_precision_lower_bound_macro,silver_precision_lower_bound_min,mrr_macro,mrr_min,selected_count_ratio,delta_vs_full_p_lb,delta_vs_full_mrr,matched_a2_recall_delta,matched_a2_p_lb_delta,matched_a2_mrr_delta,matched_r2_recall_delta,matched_r2_p_lb_delta,matched_r2_mrr_delta,nli_additive_gain,feasible,violation_count,selected
0.8,12,0.1,0.4,20,0.9770454545454544,0.9090909090909091,0.9746031746031746,19.5,19.5,26,0.7889841912137309,0.5882352941176471,0.9698863636363637,0.9,0.8210526315789474,0.11606696656263527,-0.030113636363636287,-0.020681818181818246,-0.018527313266443635,-0.027840909090908972,-0.020681818181818246,-0.018527313266443635,-0.027840909090908972,-0.018527313266443635,False,8,False
0.8,12,0.2,0.1,20,0.9977272727272727,0.9545454545454546,0.9968253968253968,19.5,19.5,26,0.8075115044801745,0.5882352941176471,0.9977272727272727,0.9545454545454546,0.8210526315789474,0.1345942798290789,-0.002272727272727315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1,False
0.8,12,0.2,0.2,20,0.9954545454545455,0.9090909090909091,0.9936507936507937,19.5,19.5,26,0.8052387772074473,0.5882352941176471,0.9942045454545454,0.9090909090909091,0.8210526315789474,0.1323215525563517,-0.005795454545454604,-0.002272727272727204,-0.002272727272727204,-0.0035227272727272885,-0.002272727272727204,-0.002272727272727204,-0.0035227272727272885,-0.002272727272727204,False,7,False
0.8,12,0.2,0.3,20,0.9909090909090909,0.9090909090909091,0.9904761904761905,19.5,19.5,26,0.8011709247700296,0.5882352941176471,0.9873863636363636,0.9090909090909091,0.8210526315789474,0.128253700118934,-0.012613636363636438,-0.006818181818181834,-0.0063405797101449,-0.010340909090909123,-0.006818181818181834,-0.0063405797101449,-0.010340909090909123,-0.0063405797101449,False,8,False
0.8,12,0.2,0.4,20,0.9745454545454546,0.9090909090909091,0.9714285714285714,19.5,19.5,26,0.7872350273341322,0.5882352941176471,0.9589772727272727,0.9,0.8210526315789474,0.1143178026830366,-0.041022727272727266,-0.02318181818181808,-0.020276477146042304,-0.03874999999999995,-0.020909090909090877,-0.0180037498733151,-0.03647727272727275,-0.0180037498733151,False,8,False
0.8,12,0.3,0.1,20,0.9954545454545455,0.9090909090909091,0.9936507936507937,19.5,19.5,26,0.8052387772074473,0.5882352941176471,0.9954545454545455,0.9090909090909091,0.8210526315789474,0.1323215525563517,-0.004545454545454519,-0.002272727272727204,-0.002272727272727204,-0.002272727272727204,0.0,0.0,0.0,0.0,False,4,False
0.8,12,0.3,0.2,20,0.9977272727272727,0.9545454545454546,0.9968253968253968,19.5,19.5,26,0.8075115044801745,0.5882352941176471,0.9953409090909091,0.9545454545454546,0.8210526315789474,0.1345942798290789,-0.0046590909090908905,0.0,0.0,-0.0023863636363635754,0.002272727272727204,0.002272727272727204,-0.00011363636363637131,0.002272727272727204,False,2,False
0.8,12,0.3,0.3,20,0.988409090909091,0.9090909090909091,0.9873015873015873,19.5,19.5,26,0.799421760890431,0.5882352941176471,0.9823863636363637,0.9090909090909091,0.8210526315789474,0.12650453623933544,-0.01761363636363633,-0.00931818181818167,-0.008089743589743459,-0.015340909090909016,-0.007045454545454466,-0.005817016317016255,-0.013068181818181812,-0.005817016317016255,False,8,False
0.8,12,0.3,0.4,20,0.97,0.8181818181818182,0.9682539682539683,19.5,19.5,26,0.7830683606674655,0.5882352941176471,0.9494318181818182,0.8181818181818182,0.8210526315789474,0.11015113601636994,-0.05056818181818179,-0.02772727272727271,-0.024443143812708956,-0.048295454545454475,-0.025454545454545507,-0.022170416539981752,-0.04249999999999998,-0.022170416539981752,False,9,False
0.8,14,0.0,0.1,20,0.9977272727272727,0.9545454545454546,0.9968253968253968,19.9,19.5,26,0.7815957535644237,0.5882352941176471,0.9977272727272727,0.9545454545454546,0.8378947368421052,0.10867852891332808,-0.002272727272727315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1,False
